design,apc,apc_total,apc share of total apc,spending_category,denominator,se,n_obs,spend_category_unemp,spend_category_emp
$300 expiration June states,0.005,0.121,0.04132231404958678,Utilities,income,0.001,121994,182.46740139953545,195.50953133987878
$300 expiration June states,0.005,0.121,0.04132231404958678,mortgage_pmts,income,0.004,121994,284.9741960635741,303.67551819894874
$300 expiration June states,0.005,0.121,0.04132231404958678,auto_loan_pmts,income,0.001,121994,76.84760273213917,107.71956758901119
$300 expiration June states,0.004,0.121,0.03305785123966942,Transit_&_Ground_Transportation,income,0.001,121994,168.7397384463203,170.18184964792226
$300 expiration June states,0.004,0.121,0.03305785123966942,Flights,income,0.001,121994,14.753556766053054,19.396937816126147
$300 expiration June states,0.003,0.121,0.024793388429752067,Home_Improvement,income,0.002,121994,78.80316806005727,64.57635029257165
$300 expiration June states,0.003,0.121,0.024793388429752067,Insurance,income,0.001,121994,51.63996970750671,62.38929584449073
$300 expiration June states,0.003,0.121,0.024793388429752067,schools,income,0.001,121994,12.505531973541093,7.210357532480412
$300 expiration June states,0.002,0.121,0.01652892561983471,Organizations_&_Institutions,income,0.001,121994,50.424109703777845,44.76195874243777
$300 expiration June states,0.002,0.121,0.01652892561983471,Department_Stores,income,0.001,121994,18.955908569034033,17.879956808489506
$300 expiration June states,0.001,0.121,0.008264462809917356,Drug_Stores,income,0,121994,25.386214874624063,26.463373004066252
$300 expiration June states,0.001,0.121,0.008264462809917356,Telecom,income,0.001,121994,117.64385942495316,126.45429534860656
$300 expiration June states,0.001,0.121,0.008264462809917356,on_us_creditcard_pmts,income,0.008,121994,560.70445087089,395.8055350590102
$300 expiration June states,0,0.121,0,Auto_Repair,income,0.002,121994,50.11663086730665,55.479275017355945
$300 expiration June states,-0,0.121,-0,student_loan_pmts,income,0.001,121994,14.293235556669785,22.21991173261926
$300 expiration June states,0,0.121,0,other_loan_pmts,income,0,121994,0.38801336996822516,0.5204630566299692
